Name,Date,City ,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Wind Spd. (knots),Air Temp (oF),SST (oF),Bottom Temp (oF),Cloud Cover,Baseline Indicator,Baseline Indicator,Baseline Indicator,Bleaching?,Severity,% bleached,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,Disease?,Disease Branching/Pillar,Disease Brain,Disease Encrusting/Mound/Boulder,Disease Flowering/Cup,Disease Leaf/Plate/Sheet,Disease Fleshy,Notes,,,,,,,,,,,,,,,,,,,,
Peter Horton,6/13/2020,Key West,Florida,Resident,Private,24.54257,-81.78995,10 ft or less,Casa Marina Reef,Not Provided,5-10 kts,86,83,80,Partly Cloudy,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/15/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.47149,-81.76455,30,Site AB Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/17/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.54653,-81.40257,30,Looe Key Reef SPA,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Palythoa,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),"Black Band Disease, Stony Coral Tissue Loss (SCTLD)",Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/18/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.52649,-81.50127,30,Site Z Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Ben Bartels,6/20/2020,Big Pine Key,Florida,Resident,Private,24.65167,-81.27508,10 ft or less,Bahia Honda,Not Provided,5-10 kts,90,86,89,Partly Cloudy,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,"Several brain and boulder corals seen on hardbottom, but no signs of disease or recent dead colonies",,,,,,,,,,,,,,,,,,,,
Cory Walter,6/22/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.55327,-81.38230,30,Site CWV Outplant,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Clear,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/22/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.55136,-81.38999,30,Site H Outplant,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Karen Neely,6/23/2020,Big Pine Key,Florida,Research,NOVA University,24.54593,-81.40537,30,Looe Key Reef SPA,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Peter Horton,6/24/2020,Key West,Florida,Resident,Private,24.44482,-81.92725,20,Western Dry Rocks ,#4,5-10 kts,86,85,80,Partly Cloudy,Palythoa,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Peter Horton,6/24/2020,Key West,Florida,Resident,Private,24.54250,-81.78983,10 ft or less,Casa Marina Reef,Not Provided,5-10 kts,88,86,83,Partly Cloudy,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
